16-Jun-26 Elegant    A160020255    Expenses:EGW:Elegant             110,81 EUR     110,81 EUR
16-Jul-15 Elegant    001632732793  Expenses:EGW:Elegant             105,81 EUR     216,62 EUR
16-Aug-12 Elegant    001640561606  Expenses:EGW:Elegant             105,81 EUR     322,43 EUR
16-Sep-14 ELEGANT BVBA    TEGOED.. Expenses:EGW:Elegant             -56,15 EUR     266,28 EUR
16-Sep-14 ELEGANT BVBA    TEGOED.. Expenses:EGW:Elegant             -14,18 EUR     252,10 EUR
16-Sep-16 Elegant    001643796554  Expenses:EGW:Elegant             105,81 EUR     357,91 EUR
16-Oct-14 Elegant    001657210240  Expenses:EGW:Elegant             105,81 EUR     463,72 EUR
16-Nov-15 Elegant    001665484037  Expenses:EGW:Elegant             105,81 EUR     569,53 EUR
16-Dec-15 Elegant    001674001243  Expenses:EGW:Elegant             105,81 EUR     675,34 EUR
17-Jan-16 Elegant    00700492896.. Expenses:EGW:Elegant             105,81 EUR     781,15 EUR
17-Feb-16 Elegant    007018511182  Expenses:EGW:Elegant             105,81 EUR     886,96 EUR
17-Mar-14 Elegant    007028561089  Expenses:EGW:Elegant             105,81 EUR     992,77 EUR
17-Apr-13 Elegant    007038106802  Expenses:EGW:Elegant             105,81 EUR   1.098,58 EUR
17-May-19 Elegant    007045420602  Expenses:EGW:Elegant             105,81 EUR   1.204,39 EUR
17-Jun-16 Elegant    007059527735  Expenses:EGW:Elegant             105,81 EUR   1.310,20 EUR
17-Jul-17 Elegant    007076665110  Expenses:EGW:Elegant             105,81 EUR   1.416,01 EUR
17-Aug-18 Elegant    007093443581  Expenses:EGW:Elegant             105,81 EUR   1.521,82 EUR
17-Aug-31 Elegant    007095185440  Expenses:EGW:Elegant              96,72 EUR   1.618,54 EUR
17-Aug-31 ELEGANT BVBA    TEGOED.. Expenses:EGW:Elegant             -46,96 EUR   1.571,58 EUR
17-Sep-18 Elegant    007103560378  Expenses:EGW:Elegant             123,80 EUR   1.695,38 EUR
17-Oct-18 Elegant    007114365572  Expenses:EGW:Elegant             123,80 EUR   1.819,18 EUR
17-Nov-23 Elegant    007125931309  Expenses:EGW:Elegant             123,80 EUR   1.942,98 EUR
17-Dec-18 Elegant    007145742446  Expenses:EGW:Elegant             123,80 EUR   2.066,78 EUR
18-Jan-19 Elegant    008000281629  Expenses:EGW:Elegant             123,80 EUR   2.190,58 EUR
18-Feb-16 Elegant    008020769241  Expenses:EGW:Elegant             123,80 EUR   2.314,38 EUR
